Company,Country,Date,Months,Time,Rocket,Mission,Rocket Status,Price,Mission Status,
RVSN USSR,Russia,3/21/1967,March,10:07:00 AM,Cosmos-2I (63SM),Cosmos 149,Retired,"$40,675,038.00 ",Success,
RVSN USSR,Russia,3/22/1967,March,12:44:00 PM,Voskhod,Cosmos 150,Retired,"$18,015,686.00 ",Success,
RVSN USSR,Kazakhstan,3/22/1967,March,2:05:00 PM,Tsyklon,OGTch 3,Retired,"$27,699,476.00 ",Failure,
RVSN USSR,Kazakhstan,3/24/1967,March,11:50:00 AM,Cosmos-3 (11K65),Cosmos 151,Retired,"$44,563,444.00 ",Success,
RVSN USSR,Russia,3/25/1967,March,6:59:00 AM,Cosmos-2I (63SM),Cosmos 152,Retired,"$31,100,488.00 ",Success,
UT, Japan,4/3/1967,March,,Lambda-IV S,Osumi,Retired,"$12,495,940.00 ",Failure,
RVSN USSR,Russia,4/4/1967,March,2:00:00 PM,Vostok-2,Cosmos 153,Retired,"$16,410,814.00 ",Success,
General Dynamics,USA,4/6/1967,March,3:23:00 AM,Atlas-SLV3 Agena-D,ATS-2,Retired,"$28,576,014.00 ",Partial Failure,
RVSN USSR,Kazakhstan,4/8/1967,April,9:00:00 AM,Proton K/Block D,Cosmos 154,Retired,"$38,967,527.00 ",Partial Failure,
RVSN USSR,Kazakhstan,4/12/1967,April,10:51:00 AM,Voskhod,Cosmos 155,Retired,"$19,234,605.00 ",Success,
General Dynamics,USA,4/17/1967,April,7:05:00 AM,Atlas-LV3C Centaur-D,Surveyor 3,Retired,"$21,507,754.00 ",Success,
RVSN USSR,Kazakhstan,4/23/1967,April,12:35:00 AM,Soyuz,Soyuz 1,Retired,"$19,864,600.00 ",Success,
ASI,Kenya,4/26/1967,April,10:06:00 AM,Scout B,San Marco 2,Retired,"$45,388,213.00 ",Success,
US Air Force,USA,4/26/1967,April,,Titan IIIB,OPS 4243,Retired,"$25,792,443.00 ",Failure,
RVSN USSR,Russia,4/27/1967,April,12:50:00 PM,Vostok-2M,Cosmos 156,Retired,"$19,576,548.00 ",Success,
Martin Marietta,USA,4/28/1967,April,10:01:00 AM,Titan IIIC,"OPS-6638, OPS-6679, ORS-4, OV5-1, OV5-3",Retired,"$11,496,639.00 ",Success,
General Dynamics,USA,5/4/1967,April,10:25:00 PM,Atlas-SLV3 Agena-D,Lunar Orbiter 4,Retired,"$20,145,231.00 ",Success,
RVSN USSR,Kazakhstan,5/12/1967,April,10:30:00 AM,Vostok-2,Cosmos 157,Retired,"$21,133,931.00 ",Success,
RVSN USSR,Russia,5/15/1967,April,11:00:00 AM,Cosmos-3M (11K65M),Cosmos 158,Retired,"$43,079,819.00 ",Success,
RVSN USSR,Kazakhstan,5/16/1967,May,9:44:00 PM,Molniya-M /Block L,Cosmos 159,Retired,"$38,825,320.00 ",Partial Failure,
RVSN USSR,Kazakhstan,5/17/1967,May,4:05:00 PM,Tsyklon,Cosmos 160,Retired,"$36,729,369.00 ",Success,
RVSN USSR,Russia,5/22/1967,May,2:00:00 PM,Voskhod,Cosmos 161,Retired,"$15,194,525.00 ",Success,
General Dynamics,USA,5/22/1967,May,6:30:00 PM,Atlas-SLV3 Agena-D,KH-7 Gambit 4037,Retired,"$20,658,746.00 ",Success,
RVSN USSR,Kazakhstan,5/24/1967,May,10:50:00 PM,Molniya,Molniya-1 n†­8,Retired,"$44,677,111.00 ",Success,
RVSN USSR,Kazakhstan,6/1/1967,May,10:40:00 AM,Voskhod,Cosmos 162,Retired,"$18,862,568.00 ",Success,
General Dynamics,USA,6/4/1967,May,6:07:00 PM,Atlas-SLV3 Agena-D,KH-7 Gambit 4038,Retired,"$32,238,695.00 ",Success,
RVSN USSR,Russia,6/5/1967,May,5:03:00 AM,Cosmos-2I (63SM),Cosmos 163,Retired,"$44,079,130.00 ",Success,
RVSN USSR,Russia,6/8/1967,June,1:00:00 PM,Voskhod,Cosmos 164,Retired,"$15,701,986.00 ",Success,
RVSN USSR,Kazakhstan,6/12/1967,June,2:39:00 AM,Molniya-M /Block VL,Venera 4,Retired,"$39,933,301.00 ",Success,
RVSN USSR,Russia,6/12/1967,June,6:06:00 PM,Cosmos-2I (63SM),Cosmos 165,Retired,"$16,375,749.00 ",Success,
General Dynamics,USA,6/14/1967,June,6:01:00 AM,Atlas-SLV3 Agena-D,Mariner 5,Retired,"$16,799,715.00 ",Success,
RVSN USSR,Russia,6/16/1967,June,4:43:00 AM,Cosmos-2I (63SM),Cosmos 166,Retired,"$40,173,102.00 ",Success,
RVSN USSR,Kazakhstan,6/17/1967,June,2:36:00 AM,Molniya-M /Block VL,Cosmos 167,Retired,"$25,102,687.00 ",Partial Failure,
RVSN USSR,Russia,6/20/1967,June,11:00:00 AM,Voskhod,Zenit-4 n†­31,Retired,"$24,976,906.00 ",Failure,
US Air Force,USA,6/20/1967,June,4:19:00 PM,Titan IIIB,OPS 4282,Retired,"$44,647,249.00 ",Partial Failure,
RVSN USSR,Russia,6/26/1967,June,,Cosmos-3M (11K65M),Tselina-OM #1,Retired,"$27,916,276.00 ",Failure,
Martin Marietta,USA,7/1/1967,June,1:15:00 PM,Titan IIIC,"OPS 9331-9334, LES-5 & DODGE",Retired,"$18,436,945.00 ",Success,
RVSN USSR,Kazakhstan,7/4/1967,June,5:59:00 AM,Voskhod,Cosmos 168,Retired,"$24,039,494.00 ",Success,
General Dynamics,USA,7/14/1967,June,11:53:00 AM,Atlas-LV3C Centaur-D,Surveyor 4,Retired,"$22,503,944.00 ",Success,
RVSN USSR,Kazakhstan,7/17/1967,July,4:45:00 PM,Tsyklon,Cosmos 169,Retired,"$38,429,349.00 ",Success,
RVSN USSR,Kazakhstan,7/21/1967,July,6:00:00 AM,Voskhod,Zenit-4 n†­32,Retired,"$41,960,461.00 ",Failure,
General Dynamics,USA,7/27/1967,July,7:00:00 PM,Atlas-D OV1,OV1-11/OV1-12/OV1-86,Retired,"$20,543,856.00 ",Partial Failure,
RVSN USSR,Kazakhstan,7/31/1967,July,4:45:00 PM,Tsyklon,Cosmos 170,Retired,"$29,722,698.00 ",Success,
General Dynamics,USA,8/1/1967,July,10:33:00 PM,Atlas-SLV3 Agena-D,Lunar Orbiter 5,Retired,"$26,930,796.00 ",Success,
RVSN USSR,Kazakhstan,8/8/1967,July,4:05:00 PM,Tsyklon,Cosmos 171,Retired,"$29,529,893.00 ",Success,
RVSN USSR,Kazakhstan,8/9/1967,July,5:45:00 AM,Voskhod,Cosmos 172,Retired,"$21,317,703.00 ",Success,
US Air Force,USA,8/16/1967,August,5:02:00 PM,Titan IIIB,OPS 4866,Retired,"$26,403,729.00 ",Success,
RVSN USSR,Russia,8/24/1967,August,4:59:00 AM,Cosmos-2I (63SM),Cosmos 173,Retired,"$18,302,678.00 ",Success,
RVSN USSR,Kazakhstan,8/31/1967,August,8:00:00 AM,Molniya,Cosmos 174,Retired,"$22,852,768.00 ",Success,
RVSN USSR,Russia,9/1/1967,August,10:30:00 AM,Voskhod,Zenit-2 n†­51,Retired,"$14,389,609.00 ",Failure,
General Dynamics,USA,9/8/1967,August,7:57:00 AM,Atlas-SLV3C Centaur-D,Surveyor 5,Retired,"$14,701,904.00 ",Success,
RVSN USSR,Russia,9/11/1967,August,10:30:00 AM,Voskhod,Cosmos 175,Retired,"$13,163,339.00 ",Success,
RVSN USSR,Russia,9/12/1967,September,5:00:00 PM,Cosmos-2I (63SM),Cosmos 176,Retired,"$25,066,677.00 ",Success,
RVSN USSR,Kazakhstan,9/16/1967,September,6:06:00 AM,Voskhod,Cosmos 177,Retired,"$35,799,140.00 ",Success,
RVSN USSR,Kazakhstan,9/19/1967,September,2:45:00 PM,Tsyklon,Cosmos 178,Retired,"$18,051,757.00 ",Success,
US Air Force,USA,9/19/1967,September,6:28:00 PM,Titan IIIB,OPS 4941,Retired,"$24,482,850.00 ",Success,
RVSN USSR,Kazakhstan,9/22/1967,September,2:05:00 PM,Tsyklon,Cosmos 179,Retired,"$24,292,964.00 ",Success,
RVSN USSR,Russia,9/26/1967,September,10:20:00 AM,Voskhod,Cosmos 180,Retired,"$18,268,868.00 ",Success,
RVSN USSR,Russia,9/27/1967,September,11:00:00 AM,Cosmos-3M (11K65M),Zaliv #2,Retired,"$18,616,488.00 ",Failure,
RVSN USSR,Kazakhstan,9/27/1967,September,9:11:00 PM,Proton K/Block D,Zond,Retired,"$12,784,735.00 ",Failure,
RVSN USSR,Kazakhstan,10/3/1967,September,5:00:00 AM,Molniya,Molniya-1 n†­9,Retired,"$30,021,514.00 ",Success,
RVSN USSR,Russia,10/11/1967,September,11:30:00 AM,Voskhod,Cosmos 181,Retired,"$13,475,599.00 ",Success,
OKB-586,Kazakhstan,10/12/1967,September,2:15:00 PM,Cosmos-3 (11K65),VKZ,Retired,"$13,998,750.00 ",Success,
RVSN USSR,Kazakhstan,10/16/1967,October,8:00:00 AM,Voskhod,Cosmos 182,Retired,"$35,928,189.00 ",Success,
RVSN USSR,Kazakhstan,10/18/1967,October,1:30:00 PM,Tsyklon,Cosmos 183,Retired,"$33,066,185.00 ",Success,
RVSN USSR,Kazakhstan,10/22/1967,October,8:40:00 AM,Molniya,Molniya-1 n†­12,Retired,"$27,781,836.00 ",Success,
RVSN USSR,Russia,10/24/1967,October,10:49:00 PM,Vostok-2M,Cosmos 184,Retired,"$11,540,040.00 ",Success,
US Air Force,USA,10/25/1967,October,7:15:00 PM,Titan IIIB,OPS 4995,Retired,"$36,888,070.00 ",Success,
RVSN USSR,Kazakhstan,10/27/1967,October,2:21:00 AM,Tsyklon-2A,Cosmos 185,Retired,"$42,808,859.00 ",Success,
RVSN USSR,Kazakhstan,10/27/1967,October,9:29:00 AM,Soyuz,Cosmos 186,Retired,"$38,505,926.00 ",Success,
RVSN USSR,Kazakhstan,10/28/1967,October,1:15:00 PM,Tsyklon,Cosmos 187,Retired,"$28,437,522.00 ",Success,
RVSN USSR,Kazakhstan,10/30/1967,October,8:12:00 AM,Soyuz,Cosmos 188,Retired,"$28,232,852.00 ",Success,
RVSN USSR,Russia,10/30/1967,October,6:00:00 PM,Cosmos-3M (11K65M),Cosmos 189,Retired,"$12,356,634.00 ",Success,
RVSN USSR,Russia,11/3/1967,October,11:20:00 AM,Voskhod,Cosmos 190,Retired,"$36,242,163.00 ",Success,
General Dynamics,USA,11/5/1967,October,11:37:00 PM,Atlas-SLV3 Agena-D,ATS-3,Retired,"$26,240,656.00 ",Success,
General Dynamics,USA,11/7/1967,October,7:39:00 AM,Atlas-SLV3C Centaur-D,Surveyor 6,Retired,"$44,683,320.00 ",Success,
NASA,USA,11/9/1967,November,12:00:00 PM,Saturn V,Apollo 4,Retired,"$13,322,614.00 ",Success,
RVSN USSR,Russia,11/21/1967,November,2:29:00 PM,Cosmos-2I (63SM),Cosmos 191,Retired,"$18,104,132.00 ",Success,
RVSN USSR,Kazakhstan,11/22/1967,November,7:07:00 PM,Proton K/Block D,Zond,Retired,"$35,290,850.00 ",Failure,
RVSN USSR,Russia,11/23/1967,November,3:00:00 PM,Cosmos-3M (11K65M),Cosmos 192,Retired,"$29,334,339.00 ",Success,
RVSN USSR,Russia,11/25/1967,November,11:30:00 AM,Voskhod,Cosmos 193,Retired,"$24,383,445.00 ",Success,
AMBA,Australia,11/29/1967,November,,Redstone Sparta,WRESAT,Retired,"$23,788,354.00 ",Success,
RVSN USSR,Russia,12/3/1967,November,12:00:00 PM,Voskhod,Cosmos 194,Retired,"$40,082,988.00 ",Success,
US Air Force,USA,12/5/1967,November,6:45:00 PM,Titan IIIB,OPS 5000,Retired,"$40,722,357.00 ",Success,
RVSN USSR,Russia,12/16/1967,November,12:00:00 PM,Voskhod,Cosmos 195,Retired,"$13,797,268.00 ",Success,
RVSN USSR,Russia,12/19/1967,December,6:30:00 AM,Cosmos-2I (63S1),Cosmos 196,Retired,"$17,039,395.00 ",Success,
RVSN USSR,Russia,12/26/1967,December,9:01:00 AM,Cosmos-2I (63SM),Cosmos 197,Retired,"$10,269,536.00 ",Success,
RVSN USSR,Kazakhstan,12/27/1967,December,11:28:00 AM,Tsyklon-2A,Cosmos 198,Retired,"$27,575,199.00 ",Success,
General Dynamics,USA,1/7/1968,December,6:30:00 AM,Atlas-SLV3C Centaur-D,Surveyor 7,Retired,"$15,078,768.00 ",Success,
RVSN USSR,Russia,1/16/1968,December,12:00:00 PM,Voskhod,Cosmos 199,Retired,"$40,461,591.00 ",Success,
US Air Force,USA,1/18/1968,December,7:04:00 PM,Titan IIIB,OPS 5028,Retired,"$43,550,070.00 ",Success,
RVSN USSR,Russia,1/19/1968,January,10:00:00 PM,Cosmos-3M (11K65M),Cosmos 200,Retired,"$14,543,573.00 ",Success,
NASA,USA,1/22/1968,January,10:48:00 PM,Saturn IB,Apollo 5,Retired,"$23,427,016.00 ",Success,
RVSN USSR,Kazakhstan,2/6/1968,January,8:00:00 AM,Voskhod,Cosmos 201,Retired,"$17,140,369.00 ",Success,
RVSN USSR,Kazakhstan,2/7/1968,January,10:43:00 AM,Molniya-M /Block L,E-6LS n†­112,Retired,"$21,132,123.00 ",Failure,
RVSN USSR,Russia,2/20/1968,January,10:03:00 AM,Cosmos-2I (63SM),Cosmos 202,Retired,"$31,410,460.00 ",Success,
RVSN USSR,Russia,2/20/1968,February,4:00:00 PM,Cosmos-3M (11K65M),Cosmos 203,Retired,"$30,783,884.00 ",Success,
RVSN USSR,Kazakhstan,3/2/1968,February,6:29:00 PM,Proton K/Block D,Zond-4,Retired,"$25,400,500.00 ",Partial Failure,
General Dynamics,USA,3/4/1968,February,1:06:00 PM,Atlas-SLV3A Agena-D,OGO-5,Retired,"$26,754,352.00 ",Success,
RVSN USSR,Russia,3/5/1968,February,11:20:00 AM,Cosmos-2I (63SM),Cosmos 204,Retired,"$40,328,015.00 ",Success,
RVSN USSR,Russia,3/5/1968,March,12:30:00 PM,Voskhod,Cosmos 205,Retired,"$33,802,362.00 ",Success,
RVSN USSR,Russia,3/6/1968,March,,Cosmos-2I (63SM),DS-U1-Ya #1,Retired,"$21,734,797.00 ",Failure,
US Air Force,USA,3/13/1968,March,7:55:00 PM,Titan IIIB,OPS 5057,Retired,"$20,224,019.00 ",Success,
RVSN USSR,Russia,3/14/1968,March,9:34:00 AM,Vostok-2M,Cosmos 206,Retired,"$16,786,915.00 ",Success,
RVSN USSR,Russia,3/16/1968,March,12:30:00 PM,Voskhod,Cosmos 207,Retired,"$15,710,361.00 ",Success,
RVSN USSR,Kazakhstan,3/21/1968,March,9:50:00 AM,Voskhod,Cosmos 208,Retired,"$11,844,596.00 ",Success,
RVSN USSR,Kazakhstan,3/22/1968,March,9:30:00 AM,Tsyklon-2A,Cosmos 209,Retired,"$40,491,278.00 ",Success,
OKB-586,Kazakhstan,3/28/1968,March,,Cosmos-3 (11K65),VKZ,Retired,"$30,876,177.00 ",Success,
RVSN USSR,Russia,4/3/1968,March,11:00:00 AM,Voskhod,Cosmos 210,Retired,"$33,717,316.00 ",Success,
NASA,USA,4/4/1968,March,12:00:00 PM,Saturn V,Apollo 6,Retired,"$41,039,938.00 ",Partial Failure,
General Dynamics,USA,4/6/1968,March,9:59:00 AM,Atlas-E/F OV1,OV1-13/OV1-14,Retired,"$36,303,619.00 ",Success,
RVSN USSR,Kazakhstan,4/7/1968,April,10:09:00 AM,Molniya-M /Block L,Luna 14,Retired,"$13,922,479.00 ",Success,
RVSN USSR,Russia,4/9/1968,April,11:26:00 AM,Cosmos-2I (63SM),Cosmos 211,Retired,"$33,603,418.00 ",Success,
RVSN USSR,Kazakhstan,4/14/1968,April,10:00:00 AM,Soyuz,Cosmos 212,Retired,"$33,175,863.00 ",Success,
RVSN USSR,Kazakhstan,4/15/1968,April,9:34:00 AM,Soyuz,Cosmos 213,Retired,"$30,248,480.00 ",Success,
US Air Force,USA,4/17/1968,April,5:00:00 PM,Titan IIIB,OPS 5105,Retired,"$23,620,004.00 ",Success,
RVSN USSR,Russia,4/18/1968,April,10:30:00 AM,Voskhod,Cosmos 214,Retired,"$41,924,682.00 ",Success,
RVSN USSR,Russia,4/18/1968,April,10:29:00 PM,Cosmos-2I (63SM),Cosmos 215,Retired,"$23,786,627.00 ",Success,
RVSN USSR,Kazakhstan,4/20/1968,April,10:30:00 AM,Voskhod,Cosmos 216,Retired,"$33,791,050.00 ",Success,
RVSN USSR,Kazakhstan,4/21/1968,April,4:20:00 AM,Molniya-M /Block L,Molniya-1 n†­10,Retired,"$37,026,084.00 ",Success,
RVSN USSR,Kazakhstan,4/22/1968,April,11:01:00 PM,Proton K/Block D,Zond,Retired,"$40,621,274.00 ",Failure,
RVSN USSR,Kazakhstan,4/24/1968,April,4:00:00 PM,Tsyklon-2A,Cosmos 217,Retired,"$41,753,566.00 ",Partial Failure,
RVSN USSR,Kazakhstan,4/25/1968,April,12:45:00 AM,Tsyklon,Cosmos 218,Retired,"$20,443,147.00 ",Success,
RVSN USSR,Russia,4/26/1968,April,4:42:00 AM,Cosmos-2I (63SM),Cosmos 219,Retired,"$45,926,198.00 ",Success,
RVSN USSR,Russia,5/7/1968,April,1:57:00 PM,Cosmos-3M (11K65M),Cosmos 220,Retired,"$39,832,226.00 ",Success,
RVSN USSR,Russia,5/24/1968,April,7:04:00 AM,Cosmos-2I (63SM),Cosmos 221,Retired,"$18,676,756.00 ",Success,
RVSN USSR,Russia,5/30/1968,April,8:29:00 PM,Cosmos-2I (63SM),Cosmos 222,Retired,"$18,564,645.00 ",Success,
RVSN USSR,Russia,6/1/1968,May,10:50:00 AM,Voskhod,Cosmos 223,Retired,"$28,421,601.00 ",Success,
RVSN USSR,Kazakhstan,6/4/1968,May,6:45:00 AM,Voskhod,Cosmos 224,Retired,"$40,117,013.00 ",Success,
RVSN USSR,Russia,6/4/1968,May,6:45:00 PM,Cosmos-3M (11K65M),Sfera #2,Retired,"$23,766,660.00 ",Failure,
US Air Force,USA,6/5/1968,June,5:31:00 PM,Titan IIIB,OPS 5138,Retired,"$43,915,798.00 ",Success,
RVSN USSR,Russia,6/11/1968,June,9:29:00 PM,Cosmos-2I (63SM),Cosmos 225,Retired,"$29,436,757.00 ",Success,
RVSN USSR,Russia,6/12/1968,June,1:14:00 PM,Vostok-2M,Cosmos 226,Retired,"$36,934,875.00 ",Success,
Martin Marietta,USA,6/13/1968,June,2:03:00 PM,Titan IIIC,OPS 9341-9348,Retired,"$30,980,085.00 ",Success,
RVSN USSR,Kazakhstan,6/15/1968,June,,Cosmos-3 (11K65),Strela-2 #4,Retired,"$13,512,580.00 ",Failure,
RVSN USSR,Kazakhstan,6/18/1968,June,4:15:00 PM,Voskhod,Cosmos 227,Retired,"$30,326,120.00 ",Success,
RVSN USSR,Kazakhstan,6/21/1968,June,12:00:00 PM,Voskhod,Cosmos 228,Retired,"$26,384,867.00 ",Success,
RVSN USSR,Russia,6/26/1968,June,11:00:00 AM,Voskhod,Cosmos 229,Retired,"$42,045,727.00 ",Success,
RVSN USSR,Russia,7/5/1968,June,6:59:00 AM,Cosmos-2I (63SM),Cosmos 230,Retired,"$30,691,398.00 ",Success,
RVSN USSR,Kazakhstan,7/5/1968,June,3:25:00 PM,Molniya-M /Block L,Molniya-1 n†­13,Retired,"$34,974,416.00 ",Success,
RVSN USSR,Kazakhstan,7/10/1968,June,7:49:00 PM,Voskhod,Cosmos 231,Retired,"$21,487,223.00 ",Success,
General Dynamics,USA,7/11/1968,July,7:30:00 PM,Atlas-E/F OV1,OV1-15/OV1-16,Retired,"$12,931,341.00 ",Success,
RVSN USSR,Russia,7/16/1968,July,1:10:00 PM,Voskhod,Cosmos 232,Retired,"$33,875,179.00 ",Success,
RVSN USSR,Russia,7/18/1968,July,7:59:00 PM,Cosmos-2I (63SM),Cosmos 233,Retired,"$37,842,901.00 ",Success,
RVSN USSR,Kazakhstan,7/30/1968,July,7:00:00 AM,Voskhod,Cosmos 234,Retired,"$23,185,074.00 ",Success,
General Dynamics,USA,8/6/1968,July,11:08:00 AM,Atlas-SLV3A Agena-D,Canyon 1 (AFP-827),Retired,"$12,345,957.00 ",Success,
US Air Force,USA,8/6/1968,July,4:33:00 PM,Titan IIIB,OPS 5187,Retired,"$34,572,669.00 ",Success,
US Air Force,USA,8/6/1968,July,6:30:00 PM,Titan IIIB,OPS 5247,Retired,"$40,703,814.00 ",Success,
RVSN USSR,Kazakhstan,8/9/1968,August,7:00:00 AM,Voskhod,Cosmos 235,Retired,"$14,152,467.00 ",Success,
General Dynamics,USA,8/10/1968,August,10:33:00 PM,Atlas-SLV3C Centaur-D,ATS-4,Retired,"$26,454,648.00 ",Partial Failure,
General Dynamics,USA,8/16/1968,August,8:57:00 PM,Atlas-SLV3 Burner-2,STP P68-1,Retired,"$22,067,596.00 ",Failure,
RVSN USSR,Kazakhstan,8/27/1968,August,11:29:00 AM,Cosmos-3 (11K65),Cosmos 236,Retired,"$45,322,088.00 ",Success,
RVSN USSR,Russia,8/27/1968,August,12:59:00 PM,Voskhod,Cosmos 237,Retired,"$35,032,565.00 ",Success,
RVSN USSR,Kazakhstan,8/28/1968,August,10:04:00 AM,Soyuz,Cosmos 238,Retired,"$38,011,604.00 ",Success,
RVSN USSR,Kazakhstan,9/5/1968,August,7:00:00 AM,Voskhod,Cosmos 239,Retired,"$32,436,110.00 ",Success,
RVSN USSR,Kazakhstan,9/14/1968,August,4:50:00 PM,Voskhod,Cosmos 240,Retired,"$39,153,471.00 ",Success,
RVSN USSR,Kazakhstan,9/14/1968,August,9:42:00 PM,Proton K/Block D,Zond-5,Retired,"$39,188,378.00 ",Success,
RVSN USSR,Russia,9/16/1968,September,12:30:00 PM,Voskhod,Cosmos 241,Retired,"$43,711,382.00 ",Success,
RVSN USSR,Russia,9/20/1968,September,2:39:00 PM,Cosmos-2I (63SM),Cosmos 242,Retired,"$27,427,362.00 ",Success,
RVSN USSR,Kazakhstan,9/23/1968,September,7:39:00 AM,Voskhod,Cosmos 243,Retired,"$11,416,158.00 ",Success,
Martin Marietta,USA,9/26/1968,September,7:37:00 AM,Titan IIIC,"LES-6, OV2-5, OV5-2, OV5-4",Retired,"$28,248,161.00 ",Success,
RVSN USSR,Kazakhstan,10/2/1968,September,1:35:00 PM,Tsyklon,Cosmos 244,Retired,"$32,961,634.00 ",Success,
RVSN USSR,Russia,10/3/1968,September,12:59:00 PM,Cosmos-2I (63SM),Cosmos 245,Retired,"$19,215,167.00 ",Success,
RVSN USSR,Kazakhstan,10/5/1968,September,12:32:00 AM,Molniya-M /Block L,Molniya-1 n†­14,Retired,"$31,585,370.00 ",Success,
RVSN USSR,Russia,10/7/1968,October,12:05:00 PM,Voskhod,Cosmos 246,Retired,"$36,871,934.00 ",Partial Failure,
RVSN USSR,Russia,10/11/1968,October,12:05:00 PM,Voskhod,Cosmos 247,Retired,"$16,440,990.00 ",Success,
NASA,USA,10/11/1968,October,3:02:00 PM,Saturn IB,Apollo 7,Retired,"$23,947,498.00 ",Success,
RVSN USSR,Kazakhstan,10/19/1968,October,4:20:00 AM,Tsyklon-2A,Cosmos 248,Retired,"$31,626,527.00 ",Success,
RVSN USSR,Kazakhstan,10/20/1968,October,4:02:00 AM,Tsyklon-2A,Cosmos 249,Retired,"$32,811,685.00 ",Success,
RVSN USSR,Kazakhstan,10/25/1968,October,9:00:00 AM,Soyuz,Soyuz 2,Retired,"$21,452,370.00 ",Success,
RVSN USSR,Kazakhstan,10/26/1968,October,8:34:00 AM,Soyuz,Soyuz 3,Retired,"$20,869,227.00 ",Success,
RVSN USSR,Russia,10/30/1968,October,10:00:00 PM,Cosmos-3M (11K65M),Cosmos 250,Retired,"$25,427,284.00 ",Success,
RVSN USSR,Kazakhstan,10/31/1968,October,9:14:00 AM,Voskhod,Cosmos 251,Retired,"$33,872,459.00 ",Success,
RVSN USSR,Kazakhstan,11/1/1968,October,12:27:00 AM,Tsyklon-2A,Cosmos 252,Retired,"$43,706,974.00 ",Success,
US Air Force,USA,11/6/1968,October,7:10:00 PM,Titan IIIB,OPS 5296,Retired,"$32,707,310.00 ",Success,
RVSN USSR,Kazakhstan,11/10/1968,October,7:11:00 PM,Proton K/Block D,Zond-6,Retired,"$21,638,031.00 ",Success,
RVSN USSR,Russia,11/13/1968,November,12:00:00 PM,Voskhod,Cosmos 253,Retired,"$38,196,828.00 ",Success,
RVSN USSR,Kazakhstan,11/16/1968,November,11:40:00 AM,Proton K,Proton-4,Retired,"$25,437,665.00 ",Success,
RVSN USSR,Russia,11/21/1968,November,12:10:00 PM,Voskhod,Cosmos 254,Retired,"$44,881,053.00 ",Success,
CECLES,Australia,11/29/1968,November,9:47:00 AM,Europa 1,STV-1,Retired,"$20,461,616.00 ",Success,
RVSN USSR,Russia,11/29/1968,November,12:40:00 PM,Voskhod,Cosmos 255,Retired,"$10,395,722.00 ",Success,
RVSN USSR,Russia,11/30/1968,November,12:00:00 PM,Cosmos-3M (11K65M),Cosmos 256,Retired,"$23,175,013.00 ",Success,
RVSN USSR,Russia,12/3/1968,November,2:52:00 PM,Cosmos-2I (63SM),Cosmos 257,Retired,"$27,299,486.00 ",Success,
US Air Force,USA,12/4/1968,November,7:23:00 PM,Titan IIIB,OPS 6518,Retired,"$44,824,511.00 ",Success,
General Dynamics,USA,12/7/1968,November,8:40:00 AM,Atlas-SLV3C Centaur-D,OAO-2,Retired,"$23,121,075.00 ",Success,
RVSN USSR,Kazakhstan,12/10/1968,December,8:25:00 AM,Voskhod,Cosmos 258,Retired,"$45,114,009.00 ",Success,
RVSN USSR,Russia,12/14/1968,December,5:09:00 AM,Cosmos-2I (63SM),Cosmos 259,Retired,"$15,222,122.00 ",Success,
RVSN USSR,Kazakhstan,12/16/1968,December,9:15:00 AM,Molniya-M /Block L,Cosmos 260,Retired,"$29,106,787.00 ",Success,
RVSN USSR,Russia,12/19/1968,December,11:55:00 PM,Cosmos-2I (63SM),Cosmos 261,Retired,"$13,363,492.00 ",Success,
NASA,USA,12/21/1968,December,12:51:00 PM,Saturn V,Apollo 8,Retired,"$23,097,854.00 ",Success,
RVSN USSR,Russia,12/26/1968,December,9:45:00 AM,Cosmos-2I (63SM),Cosmos 262,Retired,"$14,428,592.00 ",Success,
RVSN USSR,Kazakhstan,1/5/1969,December,6:28:00 AM,Molniya-M /Block VL,Venera 5,Retired,"$15,407,089.00 ",Success,
RVSN USSR,Kazakhstan,1/10/1969,December,5:51:00 AM,Molniya-M /Block VL,Venera 6,Retired,"$19,278,041.00 ",Success,
RVSN USSR,Russia,1/12/1969,December,12:10:00 PM,Voskhod,Cosmos 263,Retired,"$15,815,424.00 ",Success,
RVSN USSR,Kazakhstan,1/14/1969,January,7:30:00 AM,Soyuz,Soyuz 4,Retired,"$14,754,125.00 ",Success,
RVSN USSR,Kazakhstan,1/15/1969,January,7:04:00 AM,Soyuz,Soyuz 5,Retired,"$11,440,584.00 ",Success,
RVSN USSR,Kazakhstan,1/20/1969,January,4:14:00 AM,Proton K/Block D,Zond,Retired,"$35,813,098.00 ",Failure,
US Air Force,USA,1/22/1969,January,7:10:00 PM,Titan IIIB,OPS 7585,Retired,"$30,161,300.00 ",Success,
RVSN USSR,Kazakhstan,1/23/1969,January,9:15:00 AM,Voskhod,Cosmos 264,Retired,"$20,324,929.00 ",Success,
RVSN USSR,Kazakhstan,1/25/1969,January,11:14:00 AM,Tsyklon-2A,US-A n†­5,Retired,"$43,338,613.00 ",Failure,
RVSN USSR,Russia,2/1/1969,January,12:11:00 PM,Vostok-2M,Meteor n†­11,Retired,"$13,435,724.00 ",Failure,
RVSN USSR,Russia,2/7/1969,January,1:59:00 PM,Cosmos-2I (63SM),Cosmos 265,Retired,"$15,035,925.00 ",Success,
Martin Marietta,USA,2/9/1969,January,9:09:00 PM,Titan IIIC,OPS-0757 (Tacsat),Retired,"$37,237,743.00 ",Success,
